id_transazione,id_store,data,prodotto,quantita,unite_price,totale
67,STORE_001,2025-03-30,Tastiera,8,49.99,399.92
68,STORE_003,2025-03-09,Monitor,7,199.99,1399.93
69,STORE_003,2025-03-13,Tastiera,3,49.99,149.97
70,STORE_002,2025-03-28,Monitor,7,199.99,1399.93
71,STORE_001,2025-03-28,Laptop,5,899.99,4499.95
72,STORE_001,2025-03-19,Cuffie,3,29.99,89.97
73,STORE_003,2025-03-05,Cuffie,5,29.99,149.95
74,STORE_001,2025-03-31,Cuffie,8,29.99,239.92
75,STORE_002,2025-03-18,Laptop,6,899.99,5399.94
76,STORE_003,2025-03-10,Monitor,9,199.99,1799.91
77,STORE_003,2025-03-07,Laptop,2,899.99,1799.98
78,STORE_003,2025-03-17,Monitor,4,199.99,799.96
79,STORE_002,2025-03-28,Monitor,4,199.99,799.96
80,STORE_001,2025-03-04,Laptop,2,899.99,1799.98
81,STORE_001,2025-03-06,Monitor,6,199.99,1199.94
82,STORE_002,2025-03-28,Cuffie,6,29.99,179.94
83,STORE_001,2025-03-19,Monitor,3,199.99,599.97
84,STORE_002,2025-03-26,Monitor,5,199.99,999.95
85,STORE_003,2025-03-23,Mouse,7,19.99,139.93
86,STORE_002,2025-03-08,Cuffie,1,29.99,29.99
87,STORE_003,2025-03-28,Cuffie,6,29.99,179.94
88,STORE_003,2025-03-13,Tastiera,4,49.99,199.96
89,STORE_001,2025-03-10,Mouse,2,19.99,39.98
90,STORE_001,2025-03-06,Cuffie,8,29.99,239.92
91,STORE_001,2025-03-24,Mouse,7,19.99,139.93
92,STORE_001,2025-03-22,Cuffie,6,29.99,179.94
93,STORE_001,2025-03-21,Tastiera,7,49.99,349.93
94,STORE_001,2025-03-21,Laptop,3,899.99,2699.97
95,STORE_001,2025-03-14,Mouse,9,19.99,179.91
96,STORE_003,2025-03-24,Mouse,2,19.99,39.98
97,STORE_003,2025-03-25,Tastiera,3,49.99,149.97
98,STORE_002,2025-03-17,Monitor,5,199.99,999.95
99,STORE_001,2025-03-27,Laptop,8,899.99,7199.92
100,STORE_002,2025-03-19,Mouse,6,19.99,119.94
