id_transazione,id_cliente,codice_prodotto,quantita,data_ora,nome_cliente,eta,livello_fedelta,citta_residenza,cap,email_verificata,categoria,prezzo_listino,sconto_categoria_pct,totale_lordo,totale_netto
1013,CLI_0003,1,4,2025-01-01 06:30:00,Cliente_CLI_0003,20,3,0,85186,False,2,450.0,10.0,1800.0,1620.0
1014,CLI_0022,1,4,2025-01-01 07:00:00,Cliente_CLI_0022,19,1,4,62393,False,2,450.0,10.0,1800.0,1620.0
1015,CLI_0053,1,1,2025-01-01 07:30:00,Cliente_CLI_0053,57,3,4,17314,False,2,450.0,10.0,450.0,405.0
1016,CLI_0002,3,3,2025-01-01 08:00:00,Cliente_CLI_0002,60,2,3,23350,True,0,25.0,15.0,75.0,63.75
1017,CLI_0088,0,3,2025-01-01 08:30:00,Cliente_CLI_0088,24,0,2,61027,False,1,120.0,5.0,360.0,342.0
1018,CLI_0030,3,3,2025-01-01 09:00:00,Cliente_CLI_0030,54,0,1,45400,True,0,25.0,15.0,75.0,63.75
1019,CLI_0038,3,5,2025-01-01 09:30:00,Cliente_CLI_0038,23,0,0,83781,True,0,25.0,15.0,125.0,106.25
1020,CLI_0002,1,2,2025-01-01 10:00:00,Cliente_CLI_0002,60,2,3,23350,True,2,450.0,10.0,900.0,810.0
1021,CLI_0064,1,5,2025-01-01 10:30:00,Cliente_CLI_0064,36,3,3,52207,False,2,450.0,10.0,2250.0,2025.0
1022,CLI_0060,3,2,2025-01-01 11:00:00,Cliente_CLI_0060,31,0,0,43062,False,0,25.0,15.0,50.0,42.5
1023,CLI_0021,0,3,2025-01-01 11:30:00,Cliente_CLI_0021,33,0,3,84859,False,1,120.0,5.0,360.0,342.0
1024,CLI_0033,2,3,2025-01-01 12:00:00,Cliente_CLI_0033,63,2,4,39757,True,1,80.0,0.0,240.0,240.0
1025,CLI_0076,3,5,2025-01-01 12:30:00,Cliente_CLI_0076,69,2,3,88797,False,0,25.0,15.0,125.0,106.25
1026,CLI_0058,0,5,2025-01-01 13:00:00,Cliente_CLI_0058,68,1,3,12719,True,1,120.0,5.0,600.0,570.0
1027,CLI_0022,1,2,2025-01-01 13:30:00,Cliente_CLI_0022,19,1,4,62393,False,2,450.0,10.0,900.0,810.0
1028,CLI_0089,1,4,2025-01-01 14:00:00,Cliente_CLI_0089,26,3,1,15109,True,2,450.0,10.0,1800.0,1620.0
1029,CLI_0049,0,2,2025-01-01 14:30:00,Cliente_CLI_0049,25,1,0,80831,False,1,120.0,5.0,240.0,228.0
1030,CLI_0091,2,5,2025-01-01 15:00:00,Cliente_CLI_0091,34,2,0,36589,False,1,80.0,0.0,400.0,400.0
1031,CLI_0059,1,5,2025-01-01 15:30:00,Cliente_CLI_0059,47,1,3,28787,False,2,450.0,10.0,2250.0,2025.0
1032,CLI_0042,1,1,2025-01-01 16:00:00,Cliente_CLI_0042,52,3,0,17287,True,2,450.0,10.0,450.0,405.0
1033,CLI_0092,1,5,2025-01-01 16:30:00,Cliente_CLI_0092,35,3,4,31804,True,2,450.0,10.0,2250.0,2025.0
1034,CLI_0060,0,1,2025-01-01 17:00:00,Cliente_CLI_0060,31,0,0,43062,False,1,120.0,5.0,120.0,114.0
1035,CLI_0080,3,4,2025-01-01 17:30:00,Cliente_CLI_0080,23,1,1,42196,True,0,25.0,15.0,100.0,85.0
1036,CLI_0015,1,2,2025-01-01 18:00:00,Cliente_CLI_0015,69,1,4,47265,True,2,450.0,10.0,900.0,810.0
1037,CLI_0062,3,2,2025-01-01 18:30:00,Cliente_CLI_0062,34,2,3,22987,False,0,25.0,15.0,50.0,42.5
1038,CLI_0062,2,1,2025-01-01 19:00:00,Cliente_CLI_0062,34,2,3,22987,False,1,80.0,0.0,80.0,80.0
1039,CLI_0047,1,2,2025-01-01 19:30:00,Cliente_CLI_0047,57,0,0,68762,True,2,450.0,10.0,900.0,810.0
1040,CLI_0062,1,5,2025-01-01 20:00:00,Cliente_CLI_0062,34,2,3,22987,False,2,450.0,10.0,2250.0,2025.0
1041,CLI_0051,2,3,2025-01-01 20:30:00,Cliente_CLI_0051,45,0,0,55648,False,1,80.0,0.0,240.0,240.0
1042,CLI_0055,1,1,2025-01-01 21:00:00,Cliente_CLI_0055,58,0,4,61756,True,2,450.0,10.0,450.0,405.0
1043,CLI_0064,3,2,2025-01-01 21:30:00,Cliente_CLI_0064,36,3,3,52207,False,0,25.0,15.0,50.0,42.5
1044,CLI_0003,0,1,2025-01-01 22:00:00,Cliente_CLI_0003,20,3,0,85186,False,1,120.0,5.0,120.0,114.0
1045,CLI_0051,3,1,2025-01-01 22:30:00,Cliente_CLI_0051,45,0,0,55648,False,0,25.0,15.0,25.0,21.25
1046,CLI_0007,0,3,2025-01-01 23:00:00,Cliente_CLI_0007,33,2,4,81431,True,1,120.0,5.0,360.0,342.0
1047,CLI_0021,0,5,2025-01-01 23:30:00,Cliente_CLI_0021,33,0,3,84859,False,1,120.0,5.0,600.0,570.0
1048,CLI_0073,3,1,2025-01-02 00:00:00,Cliente_CLI_0073,40,3,3,36029,False,0,25.0,15.0,25.0,21.25
1049,CLI_0039,3,2,2025-01-02 00:30:00,Cliente_CLI_0039,40,0,1,86898,False,0,25.0,15.0,50.0,42.5
1050,CLI_0018,3,4,2025-01-02 01:00:00,Cliente_CLI_0018,20,0,4,12983,False,0,25.0,15.0,100.0,85.0
1051,CLI_0004,3,1,2025-01-02 01:30:00,Cliente_CLI_0004,55,3,2,61474,True,0,25.0,15.0,25.0,21.25
1052,CLI_0089,2,1,2025-01-02 02:00:00,Cliente_CLI_0089,26,3,1,15109,True,1,80.0,0.0,80.0,80.0
1053,CLI_0060,1,3,2025-01-02 02:30:00,Cliente_CLI_0060,31,0,0,43062,False,2,450.0,10.0,1350.0,1215.0
1054,CLI_0014,0,5,2025-01-02 03:00:00,Cliente_CLI_0014,40,0,3,46062,False,1,120.0,5.0,600.0,570.0
1055,CLI_0009,3,4,2025-01-02 03:30:00,Cliente_CLI_0009,23,2,1,65761,True,0,25.0,15.0,100.0,85.0
1056,CLI_0090,3,2,2025-01-02 04:00:00,Cliente_CLI_0090,19,2,4,39759,True,0,25.0,15.0,50.0,42.5
1057,CLI_0053,3,4,2025-01-02 04:30:00,Cliente_CLI_0053,57,3,4,17314,False,0,25.0,15.0,100.0,85.0
1058,CLI_0002,2,2,2025-01-02 05:00:00,Cliente_CLI_0002,60,2,3,23350,True,1,80.0,0.0,160.0,160.0
1059,CLI_0084,3,5,2025-01-02 05:30:00,Cliente_CLI_0084,42,0,0,78916,False,0,25.0,15.0,125.0,106.25
1060,CLI_0092,3,2,2025-01-02 06:00:00,Cliente_CLI_0092,35,3,4,31804,True,0,25.0,15.0,50.0,42.5
1061,CLI_0060,3,3,2025-01-02 06:30:00,Cliente_CLI_0060,31,0,0,43062,False,0,25.0,15.0,75.0,63.75
1062,CLI_0071,1,3,2025-01-02 07:00:00,Cliente_CLI_0071,46,1,1,17813,True,2,450.0,10.0,1350.0,1215.0
1063,CLI_0044,2,3,2025-01-02 07:30:00,Cliente_CLI_0044,51,1,1,33874,True,1,80.0,0.0,240.0,240.0
1064,CLI_0008,3,3,2025-01-02 08:00:00,Cliente_CLI_0008,38,0,0,77957,False,0,25.0,15.0,75.0,63.75
1065,CLI_0047,0,4,2025-01-02 08:30:00,Cliente_CLI_0047,57,0,0,68762,True,1,120.0,5.0,480.0,456.0
1066,CLI_0035,0,5,2025-01-02 09:00:00,Cliente_CLI_0035,25,2,0,48197,True,1,120.0,5.0,600.0,570.0
1067,CLI_0078,0,2,2025-01-02 09:30:00,Cliente_CLI_0078,61,2,2,43756,True,1,120.0,5.0,240.0,228.0
1068,CLI_0081,2,2,2025-01-02 10:00:00,Cliente_CLI_0081,18,3,2,29982,False,1,80.0,0.0,160.0,160.0
1069,CLI_0036,2,3,2025-01-02 10:30:00,Cliente_CLI_0036,68,0,3,50042,False,1,80.0,0.0,240.0,240.0
1070,CLI_0050,0,3,2025-01-02 11:00:00,Cliente_CLI_0050,35,3,0,19903,True,1,120.0,5.0,360.0,342.0
1071,CLI_0004,3,1,2025-01-02 11:30:00,Cliente_CLI_0004,55,3,2,61474,True,0,25.0,15.0,25.0,21.25
1072,CLI_0002,2,5,2025-01-02 12:00:00,Cliente_CLI_0002,60,2,3,23350,True,1,80.0,0.0,400.0,400.0
1073,CLI_0006,0,4,2025-01-02 12:30:00,Cliente_CLI_0006,34,3,1,67134,False,1,120.0,5.0,480.0,456.0
1074,CLI_0054,0,2,2025-01-02 13:00:00,Cliente_CLI_0054,57,2,1,75082,False,1,120.0,5.0,240.0,228.0
1075,CLI_0004,3,1,2025-01-02 13:30:00,Cliente_CLI_0004,55,3,2,61474,True,0,25.0,15.0,25.0,21.25
1076,CLI_0054,1,1,2025-01-02 14:00:00,Cliente_CLI_0054,57,2,1,75082,False,2,450.0,10.0,450.0,405.0
1077,CLI_0093,2,2,2025-01-02 14:30:00,Cliente_CLI_0093,50,2,1,40087,True,1,80.0,0.0,160.0,160.0
1078,CLI_0063,3,4,2025-01-02 15:00:00,Cliente_CLI_0063,41,0,4,11007,False,0,25.0,15.0,100.0,85.0
1079,CLI_0018,0,1,2025-01-02 15:30:00,Cliente_CLI_0018,20,0,4,12983,False,1,120.0,5.0,120.0,114.0
1080,CLI_0090,0,1,2025-01-02 16:00:00,Cliente_CLI_0090,19,2,4,39759,True,1,120.0,5.0,120.0,114.0
1081,CLI_0044,3,5,2025-01-02 16:30:00,Cliente_CLI_0044,51,1,1,33874,True,0,25.0,15.0,125.0,106.25
1082,CLI_0034,2,4,2025-01-02 17:00:00,Cliente_CLI_0034,51,0,2,72211,True,1,80.0,0.0,320.0,320.0
1083,CLI_0074,1,1,2025-01-02 17:30:00,Cliente_CLI_0074,46,2,1,16540,True,2,450.0,10.0,450.0,405.0
1084,CLI_0062,1,4,2025-01-02 18:00:00,Cliente_CLI_0062,34,2,3,22987,False,2,450.0,10.0,1800.0,1620.0
1085,CLI_0100,0,2,2025-01-02 18:30:00,Cliente_CLI_0100,67,1,3,75641,True,1,120.0,5.0,240.0,228.0
1086,CLI_0014,2,3,2025-01-02 19:00:00,Cliente_CLI_0014,40,0,3,46062,False,1,80.0,0.0,240.0,240.0
1087,CLI_0095,1,1,2025-01-02 19:30:00,Cliente_CLI_0095,63,2,2,58787,True,2,450.0,10.0,450.0,405.0
1088,CLI_0048,2,5,2025-01-02 20:00:00,Cliente_CLI_0048,51,2,2,43742,False,1,80.0,0.0,400.0,400.0
1089,CLI_0015,2,2,2025-01-02 20:30:00,Cliente_CLI_0015,69,1,4,47265,True,1,80.0,0.0,160.0,160.0
1090,CLI_0072,0,4,2025-01-02 21:00:00,Cliente_CLI_0072,32,2,4,37082,False,1,120.0,5.0,480.0,456.0
1091,CLI_0078,1,2,2025-01-02 21:30:00,Cliente_CLI_0078,61,2,2,43756,True,2,450.0,10.0,900.0,810.0
1092,CLI_0087,3,1,2025-01-02 22:00:00,Cliente_CLI_0087,20,2,1,57837,False,0,25.0,15.0,25.0,21.25
1093,CLI_0062,0,4,2025-01-02 22:30:00,Cliente_CLI_0062,34,2,3,22987,False,1,120.0,5.0,480.0,456.0
1094,CLI_0040,1,3,2025-01-02 23:00:00,Cliente_CLI_0040,66,0,4,17657,True,2,450.0,10.0,1350.0,1215.0
1095,CLI_0085,1,2,2025-01-02 23:30:00,Cliente_CLI_0085,32,1,3,40707,True,2,450.0,10.0,900.0,810.0
1096,CLI_0080,1,1,2025-01-03 00:00:00,Cliente_CLI_0080,23,1,1,42196,True,2,450.0,10.0,450.0,405.0
1097,CLI_0082,1,5,2025-01-03 00:30:00,Cliente_CLI_0082,52,2,1,36385,True,2,450.0,10.0,2250.0,2025.0
1098,CLI_0053,1,4,2025-01-03 01:00:00,Cliente_CLI_0053,57,3,4,17314,False,2,450.0,10.0,1800.0,1620.0
1099,CLI_0024,2,2,2025-01-03 01:30:00,Cliente_CLI_0024,49,2,4,49974,False,1,80.0,0.0,160.0,160.0
1100,CLI_0026,0,2,2025-01-03 02:00:00,Cliente_CLI_0026,61,0,2,68606,True,1,120.0,5.0,240.0,228.0
1101,CLI_0089,2,3,2025-01-03 02:30:00,Cliente_CLI_0089,26,3,1,15109,True,1,80.0,0.0,240.0,240.0
1102,CLI_0060,3,3,2025-01-03 03:00:00,Cliente_CLI_0060,31,0,0,43062,False,0,25.0,15.0,75.0,63.75
1103,CLI_0041,1,5,2025-01-03 03:30:00,Cliente_CLI_0041,67,3,1,34578,False,2,450.0,10.0,2250.0,2025.0
1104,CLI_0029,0,5,2025-01-03 04:00:00,Cliente_CLI_0029,20,0,3,65619,False,1,120.0,5.0,600.0,570.0
1105,CLI_0015,1,1,2025-01-03 04:30:00,Cliente_CLI_0015,69,1,4,47265,True,2,450.0,10.0,450.0,405.0
1106,CLI_0045,0,1,2025-01-03 05:00:00,Cliente_CLI_0045,45,0,1,27602,True,1,120.0,5.0,120.0,114.0
1107,CLI_0065,2,5,2025-01-03 05:30:00,Cliente_CLI_0065,45,2,0,15084,False,1,80.0,0.0,400.0,400.0
1108,CLI_0089,0,5,2025-01-03 06:00:00,Cliente_CLI_0089,26,3,1,15109,True,1,120.0,5.0,600.0,570.0
1109,CLI_0071,3,4,2025-01-03 06:30:00,Cliente_CLI_0071,46,1,1,17813,True,0,25.0,15.0,100.0,85.0
1110,CLI_0009,3,3,2025-01-03 07:00:00,Cliente_CLI_0009,23,2,1,65761,True,0,25.0,15.0,75.0,63.75
1111,CLI_0088,0,1,2025-01-03 07:30:00,Cliente_CLI_0088,24,0,2,61027,False,1,120.0,5.0,120.0,114.0
1112,CLI_0001,0,3,2025-01-03 08:00:00,Cliente_CLI_0001,26,2,1,64912,True,1,120.0,5.0,360.0,342.0
1113,CLI_0008,0,3,2025-01-03 08:30:00,Cliente_CLI_0008,38,0,0,77957,False,1,120.0,5.0,360.0,342.0
1114,CLI_0088,0,5,2025-01-03 09:00:00,Cliente_CLI_0088,24,0,2,61027,False,1,120.0,5.0,600.0,570.0
1115,CLI_0063,3,4,2025-01-03 09:30:00,Cliente_CLI_0063,41,0,4,11007,False,0,25.0,15.0,100.0,85.0
1116,CLI_0011,1,2,2025-01-03 10:00:00,Cliente_CLI_0011,33,1,1,22182,False,2,450.0,10.0,900.0,810.0
1117,CLI_0081,0,4,2025-01-03 10:30:00,Cliente_CLI_0081,18,3,2,29982,False,1,120.0,5.0,480.0,456.0
1118,CLI_0008,0,4,2025-01-03 11:00:00,Cliente_CLI_0008,38,0,0,77957,False,1,120.0,5.0,480.0,456.0
1119,CLI_0035,3,3,2025-01-03 11:30:00,Cliente_CLI_0035,25,2,0,48197,True,0,25.0,15.0,75.0,63.75
1120,CLI_0035,3,4,2025-01-03 12:00:00,Cliente_CLI_0035,25,2,0,48197,True,0,25.0,15.0,100.0,85.0
1121,CLI_0033,2,1,2025-01-03 12:30:00,Cliente_CLI_0033,63,2,4,39757,True,1,80.0,0.0,80.0,80.0
1122,CLI_0005,0,3,2025-01-03 13:00:00,Cliente_CLI_0005,61,1,4,16960,True,1,120.0,5.0,360.0,342.0
1123,CLI_0041,2,1,2025-01-03 13:30:00,Cliente_CLI_0041,67,3,1,34578,False,1,80.0,0.0,80.0,80.0
1124,CLI_0028,3,2,2025-01-03 14:00:00,Cliente_CLI_0028,37,0,1,42733,True,0,25.0,15.0,50.0,42.5
1125,CLI_0007,3,3,2025-01-03 14:30:00,Cliente_CLI_0007,33,2,4,81431,True,0,25.0,15.0,75.0,63.75
1126,CLI_0073,1,2,2025-01-03 15:00:00,Cliente_CLI_0073,40,3,3,36029,False,2,450.0,10.0,900.0,810.0
1127,CLI_0072,0,3,2025-01-03 15:30:00,Cliente_CLI_0072,32,2,4,37082,False,1,120.0,5.0,360.0,342.0
1128,CLI_0012,2,5,2025-01-03 16:00:00,Cliente_CLI_0012,38,3,3,54813,True,1,80.0,0.0,400.0,400.0
1129,CLI_0034,3,4,2025-01-03 16:30:00,Cliente_CLI_0034,51,0,2,72211,True,0,25.0,15.0,100.0,85.0
1130,CLI_0033,3,5,2025-01-03 17:00:00,Cliente_CLI_0033,63,2,4,39757,True,0,25.0,15.0,125.0,106.25
1131,CLI_0048,2,2,2025-01-03 17:30:00,Cliente_CLI_0048,51,2,2,43742,False,1,80.0,0.0,160.0,160.0
1132,CLI_0023,1,4,2025-01-03 18:00:00,Cliente_CLI_0023,47,1,0,37788,False,2,450.0,10.0,1800.0,1620.0
1133,CLI_0062,3,3,2025-01-03 18:30:00,Cliente_CLI_0062,34,2,3,22987,False,0,25.0,15.0,75.0,63.75
1134,CLI_0088,0,4,2025-01-03 19:00:00,Cliente_CLI_0088,24,0,2,61027,False,1,120.0,5.0,480.0,456.0
1135,CLI_0037,3,1,2025-01-03 19:30:00,Cliente_CLI_0037,43,0,1,65554,False,0,25.0,15.0,25.0,21.25
1136,CLI_0099,0,4,2025-01-03 20:00:00,Cliente_CLI_0099,56,3,3,60861,False,1,120.0,5.0,480.0,456.0
1137,CLI_0044,2,1,2025-01-03 20:30:00,Cliente_CLI_0044,51,1,1,33874,True,1,80.0,0.0,80.0,80.0
1138,CLI_0086,0,4,2025-01-03 21:00:00,Cliente_CLI_0086,20,0,2,15655,False,1,120.0,5.0,480.0,456.0
1139,CLI_0091,2,1,2025-01-03 21:30:00,Cliente_CLI_0091,34,2,0,36589,False,1,80.0,0.0,80.0,80.0
1140,CLI_0035,0,2,2025-01-03 22:00:00,Cliente_CLI_0035,25,2,0,48197,True,1,120.0,5.0,240.0,228.0
1141,CLI_0065,2,5,2025-01-03 22:30:00,Cliente_CLI_0065,45,2,0,15084,False,1,80.0,0.0,400.0,400.0
1142,CLI_0099,0,3,2025-01-03 23:00:00,Cliente_CLI_0099,56,3,3,60861,False,1,120.0,5.0,360.0,342.0
1143,CLI_0047,1,4,2025-01-03 23:30:00,Cliente_CLI_0047,57,0,0,68762,True,2,450.0,10.0,1800.0,1620.0
1144,CLI_0078,0,5,2025-01-04 00:00:00,Cliente_CLI_0078,61,2,2,43756,True,1,120.0,5.0,600.0,570.0
1145,CLI_0003,0,3,2025-01-04 00:30:00,Cliente_CLI_0003,20,3,0,85186,False,1,120.0,5.0,360.0,342.0
1146,CLI_0001,1,3,2025-01-04 01:00:00,Cliente_CLI_0001,26,2,1,64912,True,2,450.0,10.0,1350.0,1215.0
1147,CLI_0005,3,1,2025-01-04 01:30:00,Cliente_CLI_0005,61,1,4,16960,True,0,25.0,15.0,25.0,21.25
1148,CLI_0090,3,2,2025-01-04 02:00:00,Cliente_CLI_0090,19,2,4,39759,True,0,25.0,15.0,50.0,42.5
1149,CLI_0014,0,2,2025-01-04 02:30:00,Cliente_CLI_0014,40,0,3,46062,False,1,120.0,5.0,240.0,228.0
1150,CLI_0027,1,5,2025-01-04 03:00:00,Cliente_CLI_0027,27,3,1,34574,True,2,450.0,10.0,2250.0,2025.0
1151,CLI_0009,0,2,2025-01-04 03:30:00,Cliente_CLI_0009,23,2,1,65761,True,1,120.0,5.0,240.0,228.0
1152,CLI_0079,2,4,2025-01-04 04:00:00,Cliente_CLI_0079,64,2,0,38602,False,1,80.0,0.0,320.0,320.0
1153,CLI_0015,2,2,2025-01-04 04:30:00,Cliente_CLI_0015,69,1,4,47265,True,1,80.0,0.0,160.0,160.0
1154,CLI_0090,0,5,2025-01-04 05:00:00,Cliente_CLI_0090,19,2,4,39759,True,1,120.0,5.0,600.0,570.0
1155,CLI_0042,3,2,2025-01-04 05:30:00,Cliente_CLI_0042,52,3,0,17287,True,0,25.0,15.0,50.0,42.5
1156,CLI_0077,3,4,2025-01-04 06:00:00,Cliente_CLI_0077,39,1,4,62930,True,0,25.0,15.0,100.0,85.0
1157,CLI_0051,0,1,2025-01-04 06:30:00,Cliente_CLI_0051,45,0,0,55648,False,1,120.0,5.0,120.0,114.0
1158,CLI_0063,0,5,2025-01-04 07:00:00,Cliente_CLI_0063,41,0,4,11007,False,1,120.0,5.0,600.0,570.0
1159,CLI_0096,2,1,2025-01-04 07:30:00,Cliente_CLI_0096,27,2,3,73483,True,1,80.0,0.0,80.0,80.0
1160,CLI_0052,3,1,2025-01-04 08:00:00,Cliente_CLI_0052,57,0,0,29129,True,0,25.0,15.0,25.0,21.25
1161,CLI_0096,0,1,2025-01-04 08:30:00,Cliente_CLI_0096,27,2,3,73483,True,1,120.0,5.0,120.0,114.0
1162,CLI_0004,2,3,2025-01-04 09:00:00,Cliente_CLI_0004,55,3,2,61474,True,1,80.0,0.0,240.0,240.0
1163,CLI_0094,3,3,2025-01-04 09:30:00,Cliente_CLI_0094,39,1,1,53408,False,0,25.0,15.0,75.0,63.75
1164,CLI_0023,1,1,2025-01-04 10:00:00,Cliente_CLI_0023,47,1,0,37788,False,2,450.0,10.0,450.0,405.0
1165,CLI_0015,2,5,2025-01-04 10:30:00,Cliente_CLI_0015,69,1,4,47265,True,1,80.0,0.0,400.0,400.0
1166,CLI_0043,3,4,2025-01-04 11:00:00,Cliente_CLI_0043,64,0,1,44701,True,0,25.0,15.0,100.0,85.0
1167,CLI_0029,3,4,2025-01-04 11:30:00,Cliente_CLI_0029,20,0,3,65619,False,0,25.0,15.0,100.0,85.0
1168,CLI_0036,2,2,2025-01-04 12:00:00,Cliente_CLI_0036,68,0,3,50042,False,1,80.0,0.0,160.0,160.0
1169,CLI_0013,1,5,2025-01-04 12:30:00,Cliente_CLI_0013,24,0,4,83543,False,2,450.0,10.0,2250.0,2025.0
1170,CLI_0032,2,3,2025-01-04 13:00:00,Cliente_CLI_0032,54,1,2,47573,True,1,80.0,0.0,240.0,240.0
1171,CLI_0071,3,1,2025-01-04 13:30:00,Cliente_CLI_0071,46,1,1,17813,True,0,25.0,15.0,25.0,21.25
1172,CLI_0059,0,2,2025-01-04 14:00:00,Cliente_CLI_0059,47,1,3,28787,False,1,120.0,5.0,240.0,228.0
1173,CLI_0086,0,4,2025-01-04 14:30:00,Cliente_CLI_0086,20,0,2,15655,False,1,120.0,5.0,480.0,456.0
1174,CLI_0028,2,3,2025-01-04 15:00:00,Cliente_CLI_0028,37,0,1,42733,True,1,80.0,0.0,240.0,240.0
1175,CLI_0066,3,3,2025-01-04 15:30:00,Cliente_CLI_0066,21,2,2,17491,True,0,25.0,15.0,75.0,63.75
1176,CLI_0042,0,1,2025-01-04 16:00:00,Cliente_CLI_0042,52,3,0,17287,True,1,120.0,5.0,120.0,114.0
1177,CLI_0045,3,4,2025-01-04 16:30:00,Cliente_CLI_0045,45,0,1,27602,True,0,25.0,15.0,100.0,85.0
1178,CLI_0062,2,5,2025-01-04 17:00:00,Cliente_CLI_0062,34,2,3,22987,False,1,80.0,0.0,400.0,400.0
1179,CLI_0057,0,3,2025-01-04 17:30:00,Cliente_CLI_0057,24,0,4,59708,False,1,120.0,5.0,360.0,342.0
1180,CLI_0006,3,1,2025-01-04 18:00:00,Cliente_CLI_0006,34,3,1,67134,False,0,25.0,15.0,25.0,21.25
1181,CLI_0028,0,5,2025-01-04 18:30:00,Cliente_CLI_0028,37,0,1,42733,True,1,120.0,5.0,600.0,570.0
1182,CLI_0028,2,4,2025-01-04 19:00:00,Cliente_CLI_0028,37,0,1,42733,True,1,80.0,0.0,320.0,320.0
1183,CLI_0044,3,3,2025-01-04 19:30:00,Cliente_CLI_0044,51,1,1,33874,True,0,25.0,15.0,75.0,63.75
1184,CLI_0084,0,5,2025-01-04 20:00:00,Cliente_CLI_0084,42,0,0,78916,False,1,120.0,5.0,600.0,570.0
1185,CLI_0030,2,5,2025-01-04 20:30:00,Cliente_CLI_0030,54,0,1,45400,True,1,80.0,0.0,400.0,400.0
1186,CLI_0062,0,5,2025-01-04 21:00:00,Cliente_CLI_0062,34,2,3,22987,False,1,120.0,5.0,600.0,570.0
1187,CLI_0075,0,3,2025-01-04 21:30:00,Cliente_CLI_0075,56,1,0,85932,True,1,120.0,5.0,360.0,342.0
1188,CLI_0092,1,3,2025-01-04 22:00:00,Cliente_CLI_0092,35,3,4,31804,True,2,450.0,10.0,1350.0,1215.0
1189,CLI_0089,1,2,2025-01-04 22:30:00,Cliente_CLI_0089,26,3,1,15109,True,2,450.0,10.0,900.0,810.0
1190,CLI_0062,2,4,2025-01-04 23:00:00,Cliente_CLI_0062,34,2,3,22987,False,1,80.0,0.0,320.0,320.0
1191,CLI_0097,1,1,2025-01-04 23:30:00,Cliente_CLI_0097,19,0,1,55004,False,2,450.0,10.0,450.0,405.0
1192,CLI_0001,2,5,2025-01-05 00:00:00,Cliente_CLI_0001,26,2,1,64912,True,1,80.0,0.0,400.0,400.0
1193,CLI_0027,1,2,2025-01-05 00:30:00,Cliente_CLI_0027,27,3,1,34574,True,2,450.0,10.0,900.0,810.0
1194,CLI_0062,0,1,2025-01-05 01:00:00,Cliente_CLI_0062,34,2,3,22987,False,1,120.0,5.0,120.0,114.0
1195,CLI_0077,2,2,2025-01-05 01:30:00,Cliente_CLI_0077,39,1,4,62930,True,1,80.0,0.0,160.0,160.0
1196,CLI_0003,2,3,2025-01-05 02:00:00,Cliente_CLI_0003,20,3,0,85186,False,1,80.0,0.0,240.0,240.0
1197,CLI_0070,0,5,2025-01-05 02:30:00,Cliente_CLI_0070,52,2,0,37083,True,1,120.0,5.0,600.0,570.0
1198,CLI_0072,2,1,2025-01-05 03:00:00,Cliente_CLI_0072,32,2,4,37082,False,1,80.0,0.0,80.0,80.0
1199,CLI_0027,2,1,2025-01-05 03:30:00,Cliente_CLI_0027,27,3,1,34574,True,1,80.0,0.0,80.0,80.0
1200,CLI_0009,1,1,2025-01-05 04:00:00,Cliente_CLI_0009,23,2,1,65761,True,2,450.0,10.0,450.0,405.0
1201,CLI_0062,2,1,2025-01-05 04:30:00,Cliente_CLI_0062,34,2,3,22987,False,1,80.0,0.0,80.0,80.0
