id_transazione,id_store,data,prodotto,quantita,unite_price,totale
43,STORE_003,2025-01-17,Monitor,4,199.99,799.96
44,STORE_003,2025-01-08,Cuffie,2,29.99,59.98
45,STORE_003,2025-01-10,Cuffie,8,29.99,239.92
46,STORE_001,2025-01-04,Mouse,3,19.99,59.97
47,STORE_003,2025-01-29,Cuffie,7,29.99,209.93
48,STORE_002,2025-01-29,Cuffie,6,29.99,179.94
49,STORE_002,2025-01-21,Monitor,9,199.99,1799.91
50,STORE_003,2025-01-07,Cuffie,5,29.99,149.95
51,STORE_003,2025-01-02,Monitor,8,199.99,1599.92
52,STORE_001,2025-01-22,Laptop,9,899.99,8099.91
53,STORE_002,2025-01-23,Cuffie,6,29.99,179.94
54,STORE_001,2025-01-31,Cuffie,3,29.99,89.97
55,STORE_001,2025-01-28,Cuffie,5,29.99,149.95
56,STORE_003,2025-01-03,Cuffie,4,29.99,119.96
57,STORE_003,2025-01-02,Laptop,4,899.99,3599.96
58,STORE_002,2025-01-13,Laptop,2,899.99,1799.98
59,STORE_003,2025-01-09,Mouse,8,19.99,159.92
60,STORE_002,2025-01-04,Laptop,9,899.99,8099.91
61,STORE_002,2025-01-11,Laptop,6,899.99,5399.94
62,STORE_001,2025-01-06,Cuffie,8,29.99,239.92
63,STORE_003,2025-01-01,Tastiera,8,49.99,399.92
64,STORE_003,2025-01-12,Tastiera,8,49.99,399.92
65,STORE_002,2025-01-03,Laptop,6,899.99,5399.94
66,STORE_001,2025-01-27,Mouse,1,19.99,19.99
67,STORE_003,2025-01-11,Laptop,1,899.99,899.99
68,STORE_003,2025-01-23,Tastiera,9,49.99,449.91
69,STORE_003,2025-01-14,Cuffie,2,29.99,59.98
70,STORE_003,2025-01-19,Cuffie,1,29.99,29.99
71,STORE_003,2025-01-05,Mouse,5,19.99,99.95
72,STORE_001,2025-01-16,Tastiera,6,49.99,299.94
73,STORE_003,2025-01-12,Monitor,5,199.99,999.95
74,STORE_002,2025-01-28,Mouse,6,19.99,119.94
75,STORE_001,2025-01-30,Cuffie,1,29.99,29.99
76,STORE_003,2025-01-13,Monitor,8,199.99,1599.92
77,STORE_002,2025-01-31,Mouse,2,19.99,39.98
78,STORE_001,2025-01-21,Mouse,3,19.99,59.97
79,STORE_003,2025-01-07,Laptop,3,899.99,2699.97
80,STORE_003,2025-01-14,Mouse,8,19.99,159.92
81,STORE_002,2025-01-20,Monitor,8,199.99,1599.92
82,STORE_003,2025-01-27,Mouse,4,19.99,79.96
83,STORE_001,2025-01-17,Laptop,7,899.99,6299.93
84,STORE_003,2025-01-07,Mouse,2,19.99,39.98
85,STORE_001,2025-01-15,Tastiera,9,49.99,449.91
86,STORE_002,2025-01-21,Tastiera,5,49.99,249.95
87,STORE_002,2025-01-08,Tastiera,2,49.99,99.98
88,STORE_001,2025-01-12,Mouse,7,19.99,139.93
89,STORE_001,2025-01-23,Monitor,6,199.99,1199.94
90,STORE_002,2025-01-08,Tastiera,1,49.99,49.99
91,STORE_001,2025-01-02,Monitor,4,199.99,799.96
92,STORE_003,2025-01-12,Mouse,2,19.99,39.98
93,STORE_002,2025-01-27,Mouse,4,19.99,79.96
94,STORE_002,2025-01-06,Monitor,8,199.99,1599.92
95,STORE_001,2025-01-24,Monitor,8,199.99,1599.92
96,STORE_001,2025-01-26,Tastiera,8,49.99,399.92
97,STORE_001,2025-01-19,Cuffie,6,29.99,179.94
98,STORE_001,2025-01-21,Laptop,4,899.99,3599.96
99,STORE_002,2025-01-25,Monitor,7,199.99,1399.93
100,STORE_003,2025-01-18,Tastiera,4,49.99,199.96
